Account_Number,Annual_Income_1000s,Household_Size,Years_of_Post-High_School_Education,TV_Hours,Age,Gender,Exceded_Credit_Limit_in_Past_12_Months,Annual_Charges,Data_split
24035991,48.1,2,3,24,44,Female,No,7100.11,Train
2640129,29.7,1,4,43,39,Male,No,0,Train
27069259,98.7,2,3,57,26,Female,No,15122.05,Train
1716370,119.5,5,3,24,44,Male,No,22067.02,Train
6740574,111.9,3,5,53,45,Male,Yes,11123.51,Train
16904952,30.5,6,2,49,32,Female,No,12083.96,Train
4820296,49.9,6,0,36,36,Female,No,13614.23,Train
15176396,54.7,2,3,42,34,Female,No,0,Train
2533454,116.4,8,2,59,52,Male,Yes,18483.68,Train
16790273,68.4,5,1,55,36,Male,No,12071.37,Train
28054301,28.3,5,4,48,39,Male,No,0,Train
10206351,71.7,7,1,57,41,Male,No,18469.47,Train
28421385,69.8,6,1,45,43,Female,No,16850.23,Train
3348962,78.3,8,1,5,56,Male,No,15385.82,Train
7887894,85.2,7,1,32,47,Male,No,22115.26,Train
2214342,22.6,3,4,37,57,Female,No,0,Train
14259159,43.1,7,5,6,32,Female,No,733.3,Train
4646074,109.6,4,1,1,41,Female,No,23703.03,Train
1780092,56.7,5,4,22,44,Male,No,8180.7,Train
16313800,125.5,1,0,23,47,Male,No,10065.5,Train
10125132,52,3,1,56,33,Male,No,10110.61,Train
11065808,40,7,2,41,43,Male,No,1831.48,Train
3361747,46,5,2,5,43,Female,No,8507.31,Train
19820027,101.3,3,4,40,43,Male,No,6776.17,Train
20977364,101.1,4,3,11,34,Female,No,23609.1,Train
15171096,83.1,7,0,8,51,Male,No,6643.43,Train
7972824,69.2,1,1,7,37,Male,No,8533.67,Train
22689265,47.4,8,4,35,43,Female,No,4885.98,Train
22596549,82,7,2,59,41,Female,No,7256.53,Train
4690743,76.1,8,4,1,41,Male,No,14980.84,Train
29540159,63.9,5,5,57,33,Male,No,13574.76,Train
27334786,87.8,3,2,58,37,Male,Yes,16494.31,Train
1157829,67.1,2,1,21,45,Female,No,8563.2,Train
20466474,30.5,4,2,53,61,Female,No,12183.08,Train
10315180,69.6,4,3,46,40,Female,Yes,12579.73,Train
21421097,31.9,6,3,55,55,Male,No,10089.02,Train
11409800,36.2,3,5,23,33,Male,No,4751.92,Train
19144052,96.3,4,4,33,46,Male,Yes,15505.66,Train
23887312,50.3,2,5,44,40,Male,No,12924.75,Train
9339989,97.7,7,5,16,63,Female,No,21855.16,Train
26825633,70.6,5,2,51,34,Female,No,12321.39,Train
6370873,71.9,3,4,48,27,Female,No,9642.69,Train
11898332,22.9,7,0,45,43,Female,No,2793.13,Train
25950666,68.9,2,5,50,48,Female,No,19172.41,Train
3691035,30,8,4,49,43,Male,No,8648.89,Train
9017267,116.9,1,5,7,37,Male,No,20998.9,Train
12604097,82,2,4,35,62,Female,No,7789.87,Train
5364010,29.9,7,5,7,37,Female,No,11345.04,Train
11614563,117.5,3,3,32,49,Female,No,19539.8,Train
5364429,66.5,3,0,37,21,Male,No,16778.16,Train
27966373,60,5,2,9,41,Female,No,4750.3,Train
7169046,50.8,4,3,23,29,Female,No,14612.67,Train
6604608,77.8,6,4,39,46,Male,No,22781.38,Train
17485929,100.2,2,0,17,32,Male,No,10945.93,Train
11108099,63.8,7,4,44,32,Female,No,8445.67,Train
8783277,46.4,7,4,22,58,Female,No,6523.48,Train
22386048,36.5,2,1,1,39,Male,No,15610.54,Train
11910983,74.9,8,5,17,33,Female,No,7159.41,Train
12403389,80.1,5,4,37,30,Male,No,8062.19,Train
3462500,111.1,2,3,19,46,Female,No,8918.14,Train
21311106,70.6,5,5,25,51,Female,No,6842.6,Train
17225837,42.9,2,1,47,52,Male,No,4130.92,Train
28381633,102.5,2,4,52,42,Male,No,14561.36,Train
11128055,46.3,1,1,59,58,Female,Yes,1898.68,Train
10592247,50.5,4,0,51,53,Male,Yes,10031.33,Train
21344014,31.4,5,4,6,54,Male,Yes,1466.52,Train
858023,64.7,5,4,59,32,Male,No,18957.15,Train
17289872,38.4,1,3,1,55,Female,No,11952.3,Train
10071020,100,6,5,57,39,Female,No,13275.47,Train
10660681,44.3,5,2,42,33,Male,No,3159.05,Train
20912185,47.8,2,1,42,51,Female,No,3108.39,Train
17714166,15,8,1,29,43,Male,No,5896.83,Train
11359809,83.5,6,4,20,35,Male,No,11006.5,Train
13588645,75.4,1,4,4,58,Female,No,4114.64,Train
4182608,95.3,1,5,20,48,Male,No,9219.38,Train
25449976,104.9,6,3,48,59,Female,No,9390.09,Train
470034,92.2,2,5,5,64,Female,Yes,17582.56,Train
16100943,54,6,2,52,44,Male,No,8298.79,Train
24632777,87.7,6,0,53,29,Male,No,13740.12,Train
2863287,34.6,4,4,53,62,Male,No,4587.33,Train
24108493,41.2,8,2,54,57,Male,No,12782.06,Train
24032391,60,6,2,54,29,Male,No,5265.26,Train
27841690,102.8,6,5,47,46,Male,Yes,12695.32,Train
4217331,41.3,2,4,49,44,Female,No,3685.09,Train
8166299,45.8,3,0,50,62,Male,No,7987.56,Train
21519170,45.1,2,4,60,34,Male,No,10351.97,Train
15798021,91.2,3,4,26,29,Female,No,14772.21,Train
27027310,81.8,6,4,37,44,Male,No,7552.79,Train
3208474,38.1,1,2,10,39,Female,No,2837.82,Train
24068063,62.4,6,1,48,34,Male,No,15984.06,Train
27216781,36.1,5,3,33,61,Male,Yes,5810.08,Train
25922110,43.8,7,3,42,35,Male,Yes,10477.87,Train
12083473,67.2,4,4,57,55,Male,No,1449.12,Train
18642306,47.6,6,5,28,37,Male,No,2138.12,Train
15799821,50.1,2,0,53,61,Male,No,7246.56,Train
522469,116.9,4,1,39,58,Male,No,17852.38,Train
23326942,74.4,5,4,28,47,Male,Yes,11984.69,Train
24813663,109.1,2,4,48,35,Female,No,22902.99,Train
24614746,108.1,7,0,49,41,Female,No,15147.56,Train
27174609,94.5,7,2,39,48,Male,No,17303.67,Train
7975265,65,3,4,49,42,Female,No,10775.43,Train
29284445,70.1,5,1,7,52,Male,No,13999.94,Train
23835489,99.5,4,2,16,31,Female,No,16441.8,Train
19873471,46.4,3,2,20,54,Male,No,10458.18,Train
2832605,53.6,2,4,20,60,Female,No,0,Train
28791886,93.5,7,1,6,48,Male,No,14866,Train
8946352,112.5,5,4,50,54,Male,No,9852.74,Train
9586093,96.5,5,2,35,34,Female,No,12869.99,Train
6064144,98.8,1,5,51,24,Male,No,21545.43,Train
16831983,45.6,4,4,24,39,Male,No,15874.78,Train
29898521,104.5,2,4,28,27,Male,No,17017.23,Train
12419195,33.2,4,3,9,34,Male,No,14199.55,Train
21170016,36.8,3,2,60,35,Male,No,16850.21,Train
23116435,32,6,5,16,64,Male,No,6409.73,Train
3879735,87.2,5,2,2,27,Female,No,20039.64,Train
4301232,63.5,5,2,15,59,Male,No,10378.6,Train
13830546,60.2,7,2,61,61,Female,No,9049.08,Train
7605648,76.6,4,1,12,45,Male,No,21751.39,Train
7802284,20.8,8,1,24,49,Female,Yes,3786.93,Train
23868893,92.1,1,3,9,38,Male,No,20751.65,Train
10234698,73.6,7,3,50,34,Female,No,13126.68,Train
25895270,28.4,4,4,30,46,Female,No,6059.91,Train
4865561,78.7,5,3,27,39,Male,No,3038.61,Train
2876697,35.7,7,2,11,37,Male,Yes,3586.19,Train
21086787,87.8,4,3,8,51,Male,No,19213.97,Train
14053343,106.3,3,1,7,43,Male,No,13159,Train
14868163,77.3,7,2,29,36,Female,No,21333.97,Train
18125641,39.9,7,5,54,46,Male,No,11322.26,Train
20596328,93.6,4,4,30,45,Female,No,18605.23,Train
23886945,75.6,5,5,31,37,Female,No,20828.19,Train
17613761,105.3,4,4,42,45,Male,No,25468.19,Train
20088003,104.2,3,4,12,39,Female,No,8418.4,Train
25081553,87.4,7,4,7,39,Male,No,14377.26,Train
8782240,54.8,3,5,3,30,Male,No,3749.18,Train
5915423,89.5,3,2,41,29,Male,No,17821.7,Train
27309256,71.5,8,3,19,40,Female,No,12559.63,Train
11516648,107.1,7,2,33,46,Male,No,9712.59,Train
15882749,60,6,1,10,47,Male,No,13417.85,Train
16552992,37.9,6,5,8,39,Female,No,10080.91,Train
21000261,59.7,1,3,55,47,Male,No,10307.28,Train
29265684,84.2,7,2,38,37,Male,No,14615.08,Train
5479388,104.2,3,4,29,53,Male,No,16331.89,Train
264488,54.3,2,3,3,42,Male,No,14177.98,Train
26794917,116.4,5,3,37,31,Female,No,12492.85,Train
23131363,54.9,4,2,13,43,Male,No,12645.27,Train
10867011,41.5,6,4,38,30,Male,No,2545.67,Train
20965615,88,3,4,30,54,Female,No,19509.03,Train
1471765,67.7,1,1,56,49,Female,No,2096.73,Train
10345179,22.8,5,5,17,43,Male,No,23.1,Train
27230199,61.1,6,5,9,61,Female,No,15226.25,Train
18112326,85.9,6,1,48,37,Female,No,20111.46,Train
26113887,80.5,2,5,56,52,Male,No,17143.84,Train
26595273,42.8,7,4,58,47,Male,No,9019.3,Train
5142725,53,5,4,39,55,Male,No,0,Train
9519933,67.8,7,5,14,33,Female,No,3209.55,Train
23921489,46.6,6,4,36,51,Male,No,16427.44,Train
22153601,28.6,5,3,19,55,Male,No,9572.55,Train
18211317,85.4,6,4,44,49,Male,No,21243.01,Train
5349406,63.8,8,1,25,31,Male,No,3647.57,Train
28414346,84.5,3,3,26,42,Female,No,10106.48,Train
7024081,53.4,6,3,33,51,Female,No,8276.08,Train
9917883,14.3,5,4,30,42,Female,No,10470.26,Train
2096007,85.7,3,1,33,44,Male,Yes,5195.41,Train
12174753,51.7,1,1,51,24,Female,No,19162.88,Train
2386886,47.5,4,4,32,37,Male,No,9745.56,Train
104457,97.2,1,0,3,66,Male,No,15931.08,Train
20449462,48.4,4,4,35,60,Male,No,3608.63,Train
19955465,92.7,5,1,4,61,Male,No,12179.21,Train
19476417,57.3,5,2,28,42,Male,No,13879.86,Train
8458998,74.7,8,4,57,35,Female,No,11667.77,Train
16958418,96,1,4,54,46,Male,No,18638.39,Train
5501938,55,5,1,53,52,Female,No,7770.6,Train
29617002,131.7,4,3,47,48,Male,No,10480.1,Train
20158147,42,7,4,11,26,Female,No,12517.22,Train
5772603,25.2,4,0,40,42,Male,No,3294.61,Train
15868037,47.3,5,3,50,25,Female,No,8512.13,Train
10118128,51.9,8,1,2,42,Male,No,10077.88,Train
12045288,41.1,3,3,14,48,Male,No,14607.59,Train
22789100,26.9,6,0,20,54,Male,No,13950.22,Train
9824189,116.8,3,5,54,52,Male,No,14710.89,Train
26818678,66.2,4,1,11,41,Male,No,11009.99,Train
26192535,127.1,3,2,56,64,Female,No,16458.76,Train
26242880,42.9,6,5,43,55,Female,No,10465.25,Train
14164853,40.3,4,2,18,60,Male,No,8467.7,Train
29424711,105.5,3,2,31,30,Female,No,11246.39,Train
17226889,44.2,6,4,17,62,Female,No,4548.68,Train
10353094,83.5,1,2,31,43,Female,No,5286.72,Train
1919503,45.8,2,2,56,37,Female,No,6370.01,Train
4524231,100.4,7,3,43,38,Female,No,19420.61,Train
18612963,106,8,2,21,58,Male,No,10023.04,Train
10688112,62.3,5,0,48,47,Male,No,16312.73,Train
27061943,114.3,6,4,20,54,Male,No,11728.36,Train
25327791,63.9,7,2,13,52,Male,No,7902.31,Train
24405475,62.7,3,4,37,42,Female,No,959.4,Train
11465863,84.3,2,2,55,25,Female,No,17532.93,Train
18040814,48.2,4,5,3,40,Female,No,2447.66,Train
7650734,72.5,2,1,55,46,Male,No,10944.07,Train
23301122,38.9,5,0,12,30,Male,No,5682.48,Train
2760522,52.2,6,4,17,30,Female,No,14720.85,Train
10106427,42.9,3,4,20,30,Male,No,0,Train
24986269,104.5,3,1,53,47,Female,No,11097.58,Train
21001445,85.5,6,1,19,59,Male,No,8432.96,Train
21566012,98.2,7,2,23,53,Female,No,21461.54,Train
12916698,64.5,2,4,41,42,Female,No,12495.97,Train
16102400,107.8,2,5,48,33,Male,No,9660.99,Train
27465894,85.7,1,5,13,51,Female,No,13170.5,Train
11396835,73.8,8,1,54,24,Male,No,17312.14,Train
19589378,90,6,0,12,60,Male,No,7071.19,Train
13147958,75.5,4,2,11,59,Male,No,7871.23,Train
18657348,51.4,3,4,15,42,Female,No,0,Train
24815124,107.7,7,0,32,50,Male,No,21063.87,Train
18960844,18.3,4,3,58,41,Female,No,7235.48,Train
19026118,59.4,2,4,16,36,Female,No,2841.75,Train
4826835,30.4,2,0,22,67,Male,No,8150.77,Train
13433405,54.4,4,3,24,37,Male,No,9389.66,Train
756470,103.2,5,1,1,42,Male,No,19314.46,Train
12527670,34.1,3,4,25,32,Male,No,9266.9,Train
23735847,88.8,4,5,10,47,Male,No,16049.29,Train
1423005,53.5,5,4,23,52,Male,Yes,7904.72,Train
15667920,22.4,5,2,62,56,Female,No,9634.75,Train
125435,71,7,1,9,45,Male,No,12869.17,Train
9812365,55.3,5,3,38,38,Female,Yes,9695.93,Train
7362127,68.5,7,2,30,50,Male,No,5743.41,Train
2266273,99.7,5,4,49,62,Male,No,19915.78,Train
27220767,48.9,7,1,27,42,Male,No,10286.89,Train
28383626,107.3,6,0,37,36,Female,No,11459.39,Train
11866245,42.1,7,3,21,40,Male,No,9246.9,Train
4341145,42,2,4,59,48,Female,No,9045.17,Train
9363433,81.6,8,4,61,52,Female,No,8635.08,Train
20477648,64,2,2,27,51,Male,No,10412.03,Train
25870168,45.9,7,2,45,42,Female,No,468.32,Train
1346796,79.6,8,3,5,44,Male,No,6250.55,Train
5083352,100.2,1,4,22,48,Female,No,4777.17,Train
27028931,105.9,6,2,59,50,Female,No,22772.14,Train
18470329,69.3,4,2,3,51,Female,No,16780.41,Train
3436429,68.5,5,3,56,47,Male,No,13601.86,Train
25593912,51.1,6,1,53,50,Male,No,9923.97,Train
27306192,55.8,7,1,29,40,Male,Yes,18210.29,Train
2661283,66.2,6,4,52,29,Female,No,12548.55,Train
23489729,103.1,7,3,53,57,Female,Yes,20213.7,Train
21699465,55.3,4,2,14,50,Female,No,10134.63,Train
11237377,85,2,1,5,34,Female,No,19416.64,Train
1709122,53.7,6,0,42,51,Female,No,10779.92,Train
220265,90.1,3,2,52,41,Female,Yes,21695.38,Train
23907605,29.2,6,2,55,31,Male,No,5533.06,Train
25517016,92.3,3,1,10,49,Female,No,10744.37,Train
18430470,72.1,4,1,16,45,Male,No,7489.58,Train
5055846,73.8,7,5,41,41,Female,No,19114.42,Train
9100457,48.4,4,4,40,50,Male,No,10186.41,Train
1939545,45,5,1,52,63,Male,No,15178.7,Train
7867553,77.2,3,1,58,38,Male,No,12103.74,Train
20470074,55.2,5,3,16,56,Female,No,1274.78,Train
25415002,117.2,7,3,36,55,Male,Yes,22607.92,Train
19309312,46.6,7,3,56,64,Male,Yes,12877.06,Train
11715814,8,8,4,45,36,Male,No,4802.64,Train
15144054,108,4,1,29,52,Female,No,16926.89,Train
11213570,56.1,7,2,28,36,Female,No,16115.73,Train
18035198,95.3,5,4,36,45,Male,No,13316.42,Train
11010959,53.2,2,1,20,58,Male,No,9158.98,Train
1892242,38.9,8,2,2,49,Female,No,11545.79,Train
6922311,78.4,7,2,24,40,Male,No,7568.74,Train
28939370,41,3,4,27,30,Male,No,8876.56,Train
23767087,99.9,5,3,40,57,Female,No,12620.73,Train
15213716,90,5,5,10,65,Male,No,15932.13,Train
18699523,79.3,3,1,40,22,Male,No,12658.27,Train
5263212,24.6,4,2,53,36,Male,No,440.12,Train
5089191,75.1,2,0,24,50,Male,No,8863.13,Train
12949615,61.6,7,4,0,52,Female,Yes,15899.66,Train
3825717,92.2,6,0,14,37,Male,No,10805.34,Train
9146292,120.7,5,3,42,55,Female,No,14809.26,Train
15339246,48.7,3,1,51,51,Male,No,12375.34,Train
26132104,97.4,7,1,7,44,Female,Yes,20067.05,Train
28264432,44.5,8,3,36,56,Male,No,9940.75,Train
28406633,94.6,6,1,7,33,Female,No,15457.89,Train
26560453,9.9,3,3,43,57,Female,No,8384.74,Train
10476048,79.3,7,3,38,59,Female,No,15201.42,Train
22643733,98.1,6,2,9,27,Male,No,12913.04,Train
133779,51.9,7,2,45,56,Male,No,15426.14,Train
12614495,89.2,8,1,57,65,Male,No,13646.98,Train
20280111,70.2,3,1,41,34,Male,Yes,6733.53,Train
15055118,27.5,3,4,10,43,Female,No,7194.18,Train
13233604,106.7,1,2,51,46,Female,No,12133.97,Train
22356529,98.4,5,1,27,22,Female,No,9052.29,Train
15289821,104.1,3,4,52,31,Male,No,18953.64,Train
19872887,45.2,2,2,14,34,Male,No,10188,Train
5322783,82.7,4,3,41,38,Male,Yes,15854.1,Train
13581148,46.8,7,4,56,49,Male,No,10922.91,Train
22589206,27,7,2,44,66,Female,No,5612.69,Train
11367433,83.1,7,0,41,34,Female,No,20339.76,Train
3536867,17.5,4,4,35,51,Female,Yes,179.58,Train
12175940,42.9,3,2,39,58,Female,No,0,Train
12276104,71.8,7,0,51,43,Male,No,13279.41,Train
21567246,80.1,7,3,23,50,Female,No,19256.72,Train
18836748,58.8,5,4,43,59,Female,No,3429.77,Train
17179709,84.3,6,3,47,51,Male,No,20395.44,Train
29416131,71.8,4,3,9,48,Female,Yes,9245.9,Train
28037126,50.4,4,2,16,32,Male,No,10346.17,Train
5251786,59.6,8,1,6,49,Male,No,13041.06,Train
7217585,47.6,8,2,32,39,Male,No,17726.03,Train
24273787,66.3,7,3,6,24,Female,No,15829.58,Train
3239367,98,4,4,53,40,Male,No,13005,Train
22314332,115.8,2,2,11,57,Male,Yes,11276.2,Train
20150325,65.2,4,1,37,34,Male,No,5830.23,Train
25787536,22.4,3,4,51,56,Male,No,4418.75,Train
11009837,71.5,6,0,33,36,Male,No,14691.22,Train
9192465,82.5,4,3,40,54,Male,No,12037.45,Train
25866032,93,6,0,26,46,Female,No,15327.33,Train
16108052,25,3,1,16,41,Male,No,4693.84,Train
21276610,85.1,5,2,45,53,Female,No,13802.2,Train
19358700,18.2,3,4,15,27,Male,No,4400.09,Train
26258112,25.6,6,2,49,61,Male,No,12450.07,Train
7769493,91.5,6,3,15,39,Male,No,16516.54,Train
13884399,90.9,3,1,56,35,Male,No,9461.23,Train
10227762,53,6,4,25,54,Male,No,11618.27,Train
2323771,20.3,3,1,31,45,Male,No,11139.23,Train
2985470,60,5,5,15,37,Male,No,17150.24,Train
172495,89.3,7,4,8,56,Male,No,11358.81,Train
4397578,40.1,7,3,20,49,Male,No,11188.19,Train
24334022,64,4,3,37,52,Female,No,5322.03,Train
10199669,62.5,6,0,35,56,Female,No,16189.1,Train
27444157,42.3,2,0,54,43,Female,No,11390.04,Train
26203838,85.9,6,1,30,45,Female,No,19488.28,Train
7653122,54.9,8,4,36,48,Male,No,8386.46,Train
16149501,43.1,5,5,59,43,Female,No,11549.95,Train
5750686,36.1,7,3,4,52,Female,No,107.54,Train
11193309,34.7,7,3,15,36,Male,No,10809.89,Train
26677894,44.1,7,4,16,63,Male,No,2727.69,Train
4708626,94.4,8,1,57,46,Male,No,25215.04,Train
17315701,33,8,4,26,22,Female,No,11364.08,Train
14965825,55.9,4,1,9,39,Male,No,7031.87,Train
6911380,86.5,6,4,59,56,Female,No,12375.09,Train
12967743,55.1,7,4,14,49,Male,No,11369.34,Train
4791310,39.5,4,3,46,58,Female,No,10467.88,Train
4573215,86.6,3,2,26,33,Male,No,10587.36,Train
2491879,42.6,5,5,26,46,Male,No,2013.96,Train
26871047,69.3,5,0,21,51,Female,No,10790.1,Train
28441232,31.8,6,1,42,31,Male,No,16518.49,Train
7237038,72.5,1,0,34,32,Male,No,7708.21,Train
13587406,52.4,6,1,10,27,Male,No,10595.6,Train
21684523,15,5,2,54,54,Male,No,0,Train
27215108,52,3,2,45,31,Male,No,17192.6,Train
503820,34.4,7,2,10,59,Female,No,10914.82,Train
12286537,117.3,4,3,35,53,Female,No,11749.74,Train
16598444,71.5,4,3,4,40,Female,No,9807.93,Train
26655341,106.1,1,2,37,38,Male,No,6087.47,Train
14115166,114.4,3,0,0,53,Female,No,13251.82,Train
25163382,29.8,3,1,33,40,Male,No,3728.04,Train
6309187,47.2,5,3,25,39,Male,Yes,10304.32,Train
11791128,36.9,2,1,24,56,Female,No,9866.41,Train
10886623,80.2,4,1,30,35,Female,No,21114.87,Train
10882977,87.8,1,3,28,32,Female,No,18213.52,Train
17443502,83.8,2,1,48,37,Female,No,15242.26,Train
25453313,75.3,2,4,20,48,Female,No,0,Train
7311181,42.7,3,1,45,38,Male,No,13888.76,Train
25763941,25.8,2,3,37,39,Male,No,10980.61,Train
13078482,71.7,4,5,6,35,Female,No,4053.36,Train
6594112,91.5,3,4,15,53,Male,Yes,6612.6,Train
23357676,73.1,6,2,22,59,Female,Yes,16981.36,Train
10293427,31.6,3,3,6,51,Male,No,1681.07,Train
24932431,55.7,8,3,33,40,Male,No,12595.4,Train
22487075,102.7,8,2,41,43,Male,No,20201.68,Train
16629673,39.3,7,3,61,37,Male,No,9454.32,Train
26796075,72,3,1,37,48,Male,No,6638.44,Train
9327970,53.8,4,4,46,40,Male,No,3451.52,Train
23448261,46.4,5,0,47,30,Female,No,11429.76,Train
17186,50.5,4,1,44,62,Female,No,11977.76,Train
11736556,93,8,5,8,37,Female,No,21471.86,Train
4922960,50.1,4,1,23,44,Male,No,15970.24,Train
8662225,44.6,4,2,10,50,Female,No,6499.4,Train
15728094,54.7,6,0,6,66,Male,No,8041.39,Train
4490936,113.4,8,1,7,44,Female,No,20863.84,Train
18463582,41.6,2,1,56,27,Female,No,3876.21,Train
17236813,55.4,7,4,26,45,Male,No,14443.44,Train
27338385,29.5,2,2,7,46,Male,Yes,0,Train
10551660,104.7,3,0,44,35,Female,No,17543.52,Train
21184995,93.5,6,1,3,40,Female,No,22649.39,Train
